Following Athlete ID,Follow Status,Created At
40221612,Accepted,"Jun 26, 2019, 2:57:01 PM"
31026404,Accepted,"Jul 2, 2019, 2:08:57 PM"
208431,Accepted,"Jul 6, 2019, 6:02:44 PM"
38784151,Accepted,"Jul 6, 2019, 6:30:59 PM"
9743371,Accepted,"Jul 6, 2019, 6:31:28 PM"
25687147,Accepted,"Jul 6, 2019, 6:34:20 PM"
44320339,Accepted,"Aug 28, 2019, 2:31:00 AM"
46258910,Accepted,"Nov 1, 2019, 5:41:41 PM"
12242608,Accepted,"Dec 23, 2019, 11:13:06 AM"
49130953,Accepted,"Dec 23, 2019, 11:14:10 AM"
49248409,Accepted,"Dec 28, 2019, 10:37:16 PM"
54132119,Accepted,"May 2, 2020, 1:32:13 AM"
63092657,Accepted,"Jul 6, 2020, 1:23:55 AM"
51219301,Accepted,"Jul 13, 2020, 1:02:35 PM"
50313850,Accepted,"Jul 30, 2020, 3:07:32 AM"
70788504,Accepted,"Nov 3, 2020, 3:34:30 AM"
70225429,Accepted,"Nov 3, 2020, 8:37:43 PM"
71047174,Accepted,"Dec 7, 2020, 1:28:34 PM"
84642315,Accepted,"Oct 21, 2021, 10:33:40 AM"
19726580,Accepted,"Feb 15, 2022, 12:10:30 PM"
95980744,Accepted,"Apr 22, 2022, 5:39:23 PM"
34519999,Accepted,"Apr 30, 2022, 6:35:14 PM"
76889818,Accepted,"Sep 14, 2022, 12:15:21 PM"
88025369,Accepted,"Oct 24, 2022, 3:17:11 PM"
108639575,Accepted,"Jan 28, 2023, 1:39:02 AM"
67158732,Accepted,"Mar 4, 2023, 1:09:57 AM"
6030534,Accepted,"Jun 2, 2023, 9:24:18 PM"
9935263,Accepted,"Jun 8, 2023, 11:03:27 AM"
488951,Accepted,"Jul 18, 2023, 10:58:02 PM"
525912,Accepted,"Jul 19, 2023, 1:46:43 AM"
32410791,Accepted,"Jul 30, 2023, 7:53:35 PM"
48546669,Accepted,"Aug 3, 2023, 3:59:48 AM"
49525169,Accepted,"Aug 4, 2023, 4:56:47 PM"
119349154,Accepted,"Aug 5, 2023, 6:46:17 PM"
63627724,Accepted,"Aug 6, 2023, 7:33:06 PM"
25426229,Accepted,"Aug 25, 2023, 1:10:24 PM"
54079375,Accepted,"Aug 31, 2023, 1:37:33 AM"
12631820,Accepted,"Sep 8, 2023, 1:52:34 PM"
19159212,Accepted,"Sep 11, 2023, 2:49:59 AM"
29738,Accepted,"Sep 24, 2023, 1:14:20 PM"
112382140,Accepted,"Oct 16, 2023, 5:27:42 PM"
11983384,Accepted,"Oct 31, 2023, 1:47:53 AM"
45890982,Accepted,"Nov 9, 2023, 11:52:19 AM"
9643586,Accepted,"Nov 12, 2023, 11:56:04 AM"
69283199,Accepted,"Dec 5, 2023, 3:44:56 AM"
8376706,Accepted,"Dec 5, 2023, 11:40:57 AM"
29571937,Accepted,"Jan 14, 2024, 1:10:22 PM"
48294338,Accepted,"Jan 17, 2024, 7:23:25 PM"
22090385,Accepted,"Jan 18, 2024, 11:55:11 AM"
95936380,Accepted,"Jan 21, 2024, 1:56:24 PM"
1921162,Accepted,"Feb 8, 2024, 1:38:53 AM"
1753509,Accepted,"Feb 15, 2024, 12:38:50 PM"
6300,Accepted,"Feb 16, 2024, 6:46:05 PM"
7141206,Accepted,"Mar 17, 2024, 12:18:28 PM"
49282080,Accepted,"Mar 26, 2024, 10:18:24 AM"
109128606,Accepted,"Apr 10, 2024, 8:41:50 PM"
58288082,Accepted,"Apr 17, 2024, 10:22:08 AM"
2407468,Accepted,"Apr 30, 2024, 2:38:00 AM"
354460,Accepted,"May 16, 2024, 1:50:07 AM"
132936364,Accepted,"May 23, 2024, 2:10:23 AM"
